Date,Company,Location,Title,Role Summary,Responsibilities,Skills / Desired Characteristics,Min Qualifications,Preferred Qualifications
8/9/2014,Facebook,"Menlo Park, CA",Content Strategist,"We’re looking for content strategists to partner with Facebook designers, product managers, researchers and product marketers to plan and create the content for Facebook products, continually improve that content, and evolve Facebook's voice and content standards. ","Plan, write, edit, test and improve content including interface language, product education materials, product names, navigational nomenclature and other content throughout Facebook experiences
Help apply and maintain consistency with content standards, and evolve Facebook’s voice
Collaborate with designers, researchers, product managers, product marketers and engineers to serve a global content audience
Share your work and give feedback to teammates
Promote content strategy at Facebook and in the broader community of design and content professionals"," Are versatile: you're able to plan and write content for web and mobile interfaces, including interaction flows, product tours, transactional emails and launch education materials, as well as apply consistent standards and elevate the overall quality of our work. 
* Love both high-level strategy and hands-on writing and editing for web and mobile experiences. 
* Understand design thinking and user experience. 
* Thrive in a flat, fast-moving organization that uses light-weight process to have a huge impact.","5+ years working with content for web or mobile experiences
Experience with social products preferred
Information architecture or responsive content experience a plus
Please include a link to samples of your work that show a breadth of experience across a range of content types. You may wish to show us content you've created for user interfaces, microcopy, user education, direct or transactional emails, style guides or product launch content.",
8/9/2014,Facebook,"Menlo Park, CA",Copywriter,"Facebook is in the process of building an internal creative team to help build and develop the Facebook brand. We’re looking for a copywriter to work with us as we evolve our brand voice and our on-going communications strategies. 

Specifically, we’re looking for a great writer who has experience working in digital and film communications. We’re looking for a creative problem solver who is passionate about making the technical feel human and authentic.","Write for film, mobile, web and more
Work collaboratively within a cross-functional team environment
Communicate complicated technology topics in clear, concise ways to a non-technical audience
",,"BA preferred (MA is a plus), ideally in English, Journalism or related disciplines
A doer at heart, but excels at motivating and leading people too
At least 8 years of agency/in-house experience leading copy for iconic global brands
Portfolio of original and breakthrough work, along with proven experience writing in the technology category and ability to make sophisticated technology accessible and understandable to a wide audience
A strong conceptual foundation
Proven teamwork skills, flexibility and a healthy disrespect for the impossible
Highly organized and able to balance multiple projects at the same time
A strong interest in Facebook and its products
Self-driven, fearless interest and curiosity in gadgets, new tech, and inventions",
8/9/2014,Shutterfly,"Santa Clara, California",Copywriter,"Our Wedding Paper Divas brand is seeking a Copywriter to help us say and write it all. This is an exciting opportunity for an innovative and imaginative candidate to conceptualize, create and execute integrated marketing campaigns across multiple channels, while maintaining and evolving our brand voice. Writer must be detail-oriented and able to write highly-responsive messaging with compelling calls-to-action. We’re looking for someone who thrives on taking initiative and takes pride in overachieving.",,"Are an amazing copywriter—you paint pictures with words
Have copywriting experience for consumer brands
Can drive the conceptualization and creation of marketing materials
Have experience writing for direct response/direct marketing—you can tell a story in 5 words or less
Are able to conceptualize a problem and find the best and most appropriate solution to it
Have experience creating and/or quickly getting up-to-speed on a brand’s voice and style guidelines
Know the difference between stationary and stationery","3–5 years consumer email marketing copywriting experience
Possess superior language, grammar and creative writing skills
Passion for writing creative, strategic retail marketing copy
Have experience writing for direct response/direct marketing—you can tell a story in 5 words or less
Proven ability to balance brand voice with direct response effectiveness and performance
Are able to conceptualize a problem and find the best and most appropriate solution to it
Ability to align creative concepts with marketing strategies
Can adapt to the Wedding Paper Divas voice and write across a variety of channels
Highly motivated, articulate thinker with a sense of humor and an for aptitude for responding positively to feedback and creative direction and reacting quickly
Strong interest in addressing and advocating for the customer experience
Excellent project management skills
Attention to detail and ability to be flexible with urgent requests and multitask in a deadline driven environment 


A portfolio with writing samples, including emails and banners, is required. A writing test will also be given. 
",
8/15/2014,Vimeo,"New York, NY",Copywriter,"Vimeo is growing like a magical beanstalk and the word department needs some help. If you find yourself chuckling at other people’s malapropisms, sneaking off to the bathroom to read Ulysses Annotated, and/or writing punchy headlines to describe mundane moments in your life (“Elevator Conversation Expertly Avoided”), we would like to hear from you. Actually, there is no audio component to the job application, so “hear from you” is a bit inaccurate. But you already knew that.

","+ Assist in concepting and creating all manner of written deliverables for Vimeo: from marketing emails to blog posts to banner ads to postcards to temporary tattoos. And the occasional permanent tattoo.

+ Play a major role in developing cool messaging to shout (or whisper) via our social media channels, and manage the daily planning scheduling of posts on Twitter, Facebook, Tumblr, Google+, and more.

+ Help oversee and obsess about the consistency and quality of our brand voice and make sure we always sound like us.

+ Proactively scour Vimeo.com and continuously edit and improve existing copy. 

+ Partner with cool people on different teams from all around the company: design, community, sales, marketing, HR, PR, business development, and sometimes even straight-up development.

+ Bring chill positive vibes to our office.

",,"+ A total badass mastery of the English language.

+ Preferably some experience working on an Internet product or service, or a great enthusiasm for creating beautiful Internet products / services.

+ An innate understanding of hashtags, handles, likes, tumblogs, ‘grams (not THAT kind), snaps, and other such ephemeral social paraphernalia.

+ The desire to quickly adapt and sometimes fly by the seat of your jean shorts in order to help us grow a brand that is rapidly evolving. 

+ Huge brains, astounding mental flexibility, and rapier wit. 

+ The verbal skills of the most articulate Wu-Tang member and the ability to communicate your ideas clearly and concisely. And with mad style, son!

+ Stellar copyediting, proofreading, and copy-enhancing chops, the last being the ability to take anything from raw material to nearly finished text and turn it into a great idea and/or a polished piece.

+ The intestinal fortitude to say “no” to things you don’t believe in, or things that don’t meet our brand/voice guidelines.

+ An uncontrollable desire to make sentences shorter and funnier.

+ A willingness to participate in brainstorming sessions, design reviews, meetings with partners, and lunches on the High Line.

+ Plenty of marketing smarts, but also a healthy skepticism of marketing.

+ The knowhow to put together a copy deck that designers and other humans can understand.

+ A portfolio of ad copy, brand copy, UX/instructional copy, and maybe even some editorial flimflammery.

+ The ability to explain the difference between i.e. and e.g. (yes, there will be a quiz).

",
8/9/2014,Deviant Art,"Los Angeles, CA",Creative Director,"We are currently looking for a Creative Director to shape the creative vision of the Company.  Someone with the fearless confidence to lead a team in the invention of ingenious ideas that connect brands to the world’s largest artist and creative community.  Someone that brings unconventional thinking, an audacious creative aesthetic and advanced knowledge of community engagement and brand development to deliver an inspired experience for the customer.","Develop, create and implement branded content and advertising ideas to activate the deviantART brand and generate engagement within the community
Think creativity to identify new and unique solutions to develop and evolve the brand both on and offline
Understand and utilize content, copy, and visual design to set creative tone and strategy
Expertly articulate and present ideas, concepts and campaigns to entertainment, gaming, and media clients and partners
Manage the creative process from concept to delivery in a fast paced environment, while keeping within timelines and budgets
Effectively collaborate with leadership, marketing, product, advertising, design, and engineering partners
Establish and document creative guidelines, while striving for process simplification",,"8 to 10 years of Creative Design experience in a digital or social agency environment with a digital focus
Proven success in crafting social campaigns and building social communities
Awareness of current design and campaign trends
Exceptional communication and presentation skills- the ability to clearly articulate how messaging, design, and content achieve brand goals
Experience in message development and copywriting
Knowledge of user centered experience and interaction design
Knowledge of design fundamentals including brand identity, layout, color, and typography
Detailed understanding of social analytics tools
Detailed understanding of IAB ad guidelines, rich media banners and standards, earned and paid social media programs and ad products
Ability to lead and develop strong working relationships with internal and external teams and partners",
8/10/2014,SalesForce,"Sydney, Australia",Creative Director,"We are seeking an Creative Director to help collaboratively grow and develop our Salesforce Experience Design offering in ANZ. The role is equally engaged in hands-on solution design and development, from concepting through detailed delivery, as well as new-business generation and support. This individual has a passion for innovation, and is a hard-working, results-oriented Creative with a User Experience or Visual Design (UI) background who can communicate effectively and work well on a team of designers and developers in large-scale enterprise-class mobile application development efforts for some of the world's biggest companies. 
 "," Works collaboratively and effectively with Experience Design leadership to aid the growth and development of the Salesforce Experience Design team within the ANZ region 
•       Manages and leads the regional team to ensure the quality of their work and their ongoing development through continuous thought leadership for the team and our clients 
•       Plays a key role in the delivery and development of all regional presentations to both existing and potential clients 
•       Embraces accountability for the quality of all Experience Design deliverables in the region 
•       Fosters an environment of multidisciplinary collaboration and creative problem solving. 
•       Provides strategic and discipline-centric guidance for team members to shape and direct their overall professional development. 
•       Is a highly dynamic, active and engaged participant in all client interactions, meetings and workshops. 
•       Is highly-effective at selling Experience Design work product, solutions, and timelines to client organization, as well as teeing up future work. 
•       Is an exemplary advocate of Experience Design processes, services and team to clients and our professional community. 
•       Is an equally highly-proficient advocate of Experience Design processes, services and team to our internal team and Salesforce team partner members. Demonstrates command of all internal Experience Design team expectations to rest of team. 
•       Is an exemplary business development effort contributor; valuably helps size and scope XD engagements. 
•       Embraces the significant accountability for XD work product output of assigned account and/or project teams; sets direction for sub-resources. 
•       Adopts, pursues and advocates for XD-wide quality expectations for all assigned accounts or projects. 
•       Is highly-proficient at understanding, representing and directing the activities of all component XD disciplines. ",,"BA or BFA in a relevant field (Advertising, Visual Design, User Experience, etc.) 
•      Exceptional portfolio of work demonstrating a range of thought and effort spanning a healthy career at relevant organizations 
•      Extensive relevant industry experience, combining strategy, content, interaction design and functional utility 
•      Hands-on expertise in developing digital solutions for all channels and screens 
•      Extraordinary conceptual skills 
•      Effective, appropriate communicator at all levels, up and down, throughout organization. Knows how and when to hold the right discourse; ensures a desirable outcome to the conversation. 
•      Highly-proficient ability to share stories and showcase work in a way that motivates listener to more richly engage with the topic at hand. 
•      Considered a highly beneficial presence to the team by peers, partners and XD leaders. 
•      Proactive, energetic, enthusiastic, positive and entrepreneurial 
•      Demonstrated ability to solve problems conceptually in collaboration with cross-functional in a fast-paced environment 
•      A passion for team building and leading through inspiration and example 
•      Expert knowledge of digital solution design processes and all relevant digital delivery tools 
•      Self-motivated and highly organized 
•      Willingness to travel (40%) ",
8/9/2014,Apple,"Santa Clara Valley, CA",Creative Technologist,"Apple’s Worldwide Marketing Communications group is seeking someone to contribute to digital innovation on our creative technology team. This individual will be responsible for driving web-standard (HTML5) innovation that enhances and enlivens the marketing of Apple’s products and services to millions of consumers. Work will include exploring opportunities with apple.com and mobile/multi-touch experiences on iPhone and iPad. This role requires working closely with the design, IA, and development groups on the interactive team and will be an important part of Marketing Communications’ creative efforts. This individual will also be engaged in connecting the interactive team with other product engineering groups at Apple in order to take full advantage of Mac OS, iPhone, and iPad.",Develop desktop and mobile interactive prototypes to evaluate innovative ideas and approaches to standards-based (HTML5) work. Research and develop new ideas using cutting-edge technologies and techniques. Explore mobile and multi-touch web development opportunities for apple.com. ,"Excellent standards-based web technology skills (including HTML5/CSS3/Javascript).
Deep understanding of Apple desktop and mobile products.
Knowledgable in social networking systems with a demonstrated ability to create integrated experiences.
Effective communicator who can work closely with multidisciplinary teams including graphic designers, information architects, web developers, and motion graphics artists.
Ideal candidate will have previous experience in a technical creative environment, such as a digital/interactive agency.
Ideal candidate will also have motion graphics skills (Apple Motion/Adobe After Effects) and experience with Quartz Composer.
Strong design and web typography sensibilities a big plus.",,
8/9/2014,Apple,"Santa Clara Valley, CA",Creative Technologist / Prototyper / Front-end Developer,"This a role for the hungry, ambitious, insatiably-curious and dangerously-proficient. You’ll be collaborating alongside world-class visual designers; working to imagine, design and implement the next generation of products and experiences which connect people and brands across Apple devices.",,"Mobile-first mindset
HTML5 & CSS, Xcode, SASS/SCS, Coffeescript, Python, JSON, XML, PHP data parsing, etc.
Portfolio demonstrating the above
Passionate about the Apple brand and relentless in preserving its authenticity
Collaborates with Creatives, Product Managers, Engineers and business unit management to solve complex problems with simple solutions Is a fountain of ideas and creative thinking who can think and implement quickly, laterally, independently or collaboratively  Demonstrates strong Visual, UX, Technical and Product Design sensibilities with an uncanny level of curiosity; keeps up with the evolving landscape of available tools Has experience developing prototypes for a variety of platforms and use cases; can rapidly prototype their ideas across a myriad of Apple devices, experiences and scenarios  Is a self-starter who will not only complement proposed design solutions, but can bring a unique technical perspective to inform and evolve the team’s creative thinking",,
8/9/2014,Instagram,"Menlo Park, CA",Design Director,"We are looking for a charismatic and visionary design director to lead the Instagram design team. Instagram is a collaborative environment between engineering, product management, and design, a culture where ideas can be sparked by any individual but cannot be realized without a collective effort. As the leader of the design team, your responsibilities go far beyond simple aesthetics: you will coach both engineering and design to empathize with the user and build beautiful, usable experiences that make the ordinary seem extraordinary. You will define the creative process from start to finish, own the responsibility for delivering the highest quality product with your team of talented designers, and be the design visionary for future Instagram products.
","Define and refine the process for designing new products
Coach, mentor, and scale a world-class team of designers and researchers
Guide a team to craft beautifully-composed layouts and deftly-carved pixels
Focus on mobile interfaces across iOS, Android, and Windows Phone
Create compelling interaction design: it’s not just about how it looks, it’s about how it acts, moves, and feels
Maintain and refine our brand and identity: our commitment spans beyond what is submitted to the app store
Research, test, and analyze: user data informs and guides our design decisions",,"Demonstrated design leadership
Proven track record of successful team building and management
Impressive history of shipping successful consumer products
A strong portfolio that highlights visionary design thinking
Must provide portfolio of produced work",
8/9/2014,Trunk Club,"Chicago, IL",Design Director,,,"You currently lead a design team and have years of experience managing a team of 10+ people
You have successfully launched consumer web and mobile products
You have a substantial personal product/digital design portfolio
You have experience working for a startup / rapidly-growing mid-sized company​
You have a strong point of view about design process, but embrace divergent process experimentation
You seek to work in interdisciplinary teams with people who are smarter than you 
You care deeply about empowering team members, enriching culture, and delivering results
Your past and current team members know you and your strengths and weaknesses intimately
You aspire to be part of a team building a consumer service that people love
​Please include a link to your portfolio.  Experience Trunk Club (either use the service personally or observe a friend/family member) and share opportunities to improve our UX as part of your application.",,
